CONTENT ID,CONTENT TYPE,MIRNA ID,SPECIES,EXPERIMENT ID,METHODS,Entrez GENE ID,COMMENTS
41.0,mirna,miR-290,Mus musculus,15.0,miRCURY LNA Array,100049710,Clear hit to Entrez gene ID
42.0,mirna,miR-291a-5p,Mus musculus,15.0,miRCURY LNA Array,100049715,Clear hit to Entrez gene ID
43.0,mirna,miR-291b-5p,Mus musculus,15.0,miRCURY LNA Array,100124471,Clear hit to Entrez gene ID
44.0,mirna,miR-292-5p,Mus musculus,15.0,miRCURY LNA Array,100049711,Clear hit to Entrez gene ID
45.0,mirna,miR-296,Mus musculus,15.0,miRCURY LNA Array,723906,Clear hit to Entrez gene ID
46.0,mirna,miR-298,Mus musculus,15.0,miRCURY LNA Array,723832,Clear hit to Entrez gene ID
47.0,mirna,miR-29a,Mus musculus,15.0,miRCURY LNA Array,387222,Clear hit to Entrez gene ID
48.0,mirna,miR-300,Mus musculus,15.0,miRCURY LNA Array,723833,Clear hit to Entrez gene ID
49.0,mirna,miR-30c,Mus musculus,15.0,miRCURY LNA Array,387227,Clear hit to Entrez gene ID
50.0,mirna,miR-320,Mus musculus,15.0,miRCURY LNA Array,723838,Clear hit to Entrez gene ID
51.0,mirna,miR-324-3p,Mus musculus,15.0,miRCURY LNA Array,723896,Clear hit to Entrez gene ID
52.0,mirna,miR-326,Mus musculus,15.0,miRCURY LNA Array,723840,Clear hit to Entrez gene ID
53.0,mirna,miR-329,Mus musculus,15.0,miRCURY LNA Array,723842,Clear hit to Entrez gene ID
54.0,mirna,miR-341,Mus musculus,15.0,miRCURY LNA Array,723846,Clear hit to Entrez gene ID
55.0,mirna,miR-351,Mus musculus,15.0,miRCURY LNA Array,72575,Clear hit to Entrez gene ID
56.0,mirna,miR-370,Mus musculus,15.0,miRCURY LNA Array,723854,Clear hit to Entrez gene ID
57.0,mirna,miR-381,Mus musculus,15.0,miRCURY LNA Array,723935,Clear hit to Entrez gene ID
58.0,mirna,miR-422b,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
59.0,mirna,miR-433-5p,Mus musculus,15.0,miRCURY LNA Array,723937,Clear hit to Entrez gene ID
60.0,mirna,miR-450,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
61.0,mirna,miR-451,Mus musculus,15.0,miRCURY LNA Array,723870,Clear hit to Entrez gene ID
62.0,mirna,miR-452,Mus musculus,15.0,miRCURY LNA Array,723919,Clear hit to Entrez gene ID
63.0,mirna,miR-468,Mus musculus,15.0,miRCURY LNA Array,723871,Clear hit to Entrez gene ID
64.0,mirna,miR-470,Mus musculus,15.0,miRCURY LNA Array,723873,Clear hit to Entrez gene ID
65.0,mirna,miR-494,Mus musculus,15.0,miRCURY LNA Array,723878,Clear hit to Entrez gene ID
66.0,mirna,miR-500,Mus musculus,15.0,miRCURY LNA Array,723974,Clear hit to Entrez gene ID
67.0,mirna,miR-503,Mus musculus,15.0,miRCURY LNA Array,72575,Clear hit to Entrez gene ID
68.0,mirna,miR-542-5p,Mus musculus,15.0,miRCURY LNA Array,723901,Clear hit to Entrez gene ID
69.0,mirna,miR-546,Mus musculus,15.0,miRCURY LNA Array,723882,Clear hit to Entrez gene ID
70.0,mirna,miR-96,Mus musculus,15.0,miRCURY LNA Array,723886,Clear hit to Entrez gene ID
71.0,mirna,U6-snRNA-1,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
72.0,mirna,U6-snRNA-2,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
73.0,mirna,let-7a,Homo sapiens,45.0,467microRNA Array,406881,Ambiguous mapping to Entrez gene ID
74.0,mirna,let-7a,Homo sapiens,45.0,467microRNA Array,406882,Ambiguous mapping to Entrez gene ID
75.0,mirna,let-7a,Homo sapiens,45.0,467microRNA Array,406883,Ambiguous mapping to Entrez gene ID
76.0,mirna,let-7b,Homo sapiens,45.0,467microRNA Array,406884,Clear hit to Entrez gene ID
77.0,mirna,let-7c,Homo sapiens,45.0,467microRNA Array,406885,Clear hit to Entrez gene ID
78.0,mirna,let-7d,Homo sapiens,45.0,467microRNA Array,406886,Clear hit to Entrez gene ID
79.0,mirna,let-7e,Homo sapiens,45.0,467microRNA Array,406887,Clear hit to Entrez gene ID
80.0,mirna,let-7f,Homo sapiens,45.0,467microRNA Array,406888,Ambiguous mapping to Entrez gene ID
81.0,mirna,let-7f,Homo sapiens,45.0,467microRNA Array,406889,Ambiguous mapping to Entrez gene ID
82.0,mirna,let-7g,Homo sapiens,45.0,467microRNA Array,406890,Clear hit to Entrez gene ID
83.0,mirna,let-7i,Homo sapiens,45.0,467microRNA Array,406891,Clear hit to Entrez gene ID
84.0,mirna,miR-100,Homo sapiens,45.0,467microRNA Array,406892,Clear hit to Entrez gene ID
85.0,mirna,miR-101,Homo sapiens,45.0,467microRNA Array,406893,Ambiguous mapping to Entrez gene ID
86.0,mirna,miR-101,Homo sapiens,45.0,467microRNA Array,406894,Ambiguous mapping to Entrez gene ID
87.0,mirna,miR-103,Homo sapiens,45.0,467microRNA Array,100302238,Ambiguous mapping to Entrez gene ID
88.0,mirna,miR-103,Homo sapiens,45.0,467microRNA Array,100302282,Ambiguous mapping to Entrez gene ID
89.0,mirna,miR-103,Homo sapiens,45.0,467microRNA Array,406895,Ambiguous mapping to Entrez gene ID
90.0,mirna,miR-103,Homo sapiens,45.0,467microRNA Array,406896,Ambiguous mapping to Entrez gene ID
91.0,mirna,miR-105,Homo sapiens,45.0,467microRNA Array,406897,Ambiguous mapping to Entrez gene ID
92.0,mirna,miR-105,Homo sapiens,45.0,467microRNA Array,406898,Ambiguous mapping to Entrez gene ID
93.0,mirna,miR-106a,Homo sapiens,45.0,467microRNA Array,406899,Clear hit to Entrez gene ID
94.0,mirna,miR-106b,Homo sapiens,45.0,467microRNA Array,406900,Clear hit to Entrez gene ID
95.0,mirna,miR-107,Homo sapiens,45.0,467microRNA Array,406901,Clear hit to Entrez gene ID
96.0,mirna,miR-10a,Homo sapiens,45.0,467microRNA Array,406902,Clear hit to Entrez gene ID
97.0,mirna,miR-10b,Homo sapiens,45.0,467microRNA Array,406903,Clear hit to Entrez gene ID
98.0,mirna,miR-122a,Homo sapiens,45.0,467microRNA Array,406906,Ambiguous mapping to Entrez gene ID
99.0,mirna,miR-125a,Homo sapiens,45.0,467microRNA Array,406910,Clear hit to Entrez gene ID
100.0,mirna,miR-125b,Homo sapiens,45.0,467microRNA Array,406911,Ambiguous mapping to Entrez gene ID
101.0,mirna,miR-125b,Homo sapiens,45.0,467microRNA Array,406912,Ambiguous mapping to Entrez gene ID
102.0,mirna,miR-126,Homo sapiens,45.0,467microRNA Array,406913,Clear hit to Entrez gene ID
103.0,mirna,miR-128a,Homo sapiens,45.0,467microRNA Array,406915,Ambiguous mapping to Entrez gene ID
104.0,mirna,miR-128b,Homo sapiens,45.0,467microRNA Array,406916,Clear hit to Entrez gene ID
105.0,mirna,miR-129,Homo sapiens,45.0,467microRNA Array,100302178,Ambiguous mapping to Entrez gene ID
106.0,mirna,miR-129,Homo sapiens,45.0,467microRNA Array,677815,Ambiguous mapping to Entrez gene ID
107.0,mirna,miR-130a,Homo sapiens,45.0,467microRNA Array,406919,Clear hit to Entrez gene ID
108.0,mirna,miR-130b,Homo sapiens,45.0,467microRNA Array,406920,Clear hit to Entrez gene ID
109.0,mirna,miR-133a,Homo sapiens,45.0,467microRNA Array,128826,Ambiguous mapping to Entrez gene ID
110.0,mirna,miR-135b,Homo sapiens,45.0,467microRNA Array,442891,Clear hit to Entrez gene ID
111.0,mirna,miR-136,Homo sapiens,45.0,467microRNA Array,406927,Clear hit to Entrez gene ID
112.0,mirna,miR-137,Homo sapiens,45.0,467microRNA Array,406928,Clear hit to Entrez gene ID
113.0,mirna,miR-138,Homo sapiens,45.0,467microRNA Array,406929,Ambiguous mapping to Entrez gene ID
114.0,mirna,miR-138,Homo sapiens,45.0,467microRNA Array,406930,Ambiguous mapping to Entrez gene ID
115.0,mirna,miR-140,Homo sapiens,45.0,467microRNA Array,406932,Clear hit to Entrez gene ID
116.0,mirna,miR-141,Homo sapiens,45.0,467microRNA Array,406933,Clear hit to Entrez gene ID
117.0,mirna,miR-146a,Homo sapiens,45.0,467microRNA Array,406938,Clear hit to Entrez gene ID
118.0,mirna,miR-146b,Homo sapiens,45.0,467microRNA Array,574447,Clear hit to Entrez gene ID
119.0,mirna,miR-147,Homo sapiens,45.0,467microRNA Array,406939,Ambiguous mapping to Entrez gene ID
120.0,mirna,miR-148a,Homo sapiens,45.0,467microRNA Array,406940,Clear hit to Entrez gene ID
121.0,mirna,miR-148b,Homo sapiens,45.0,467microRNA Array,442892,Clear hit to Entrez gene ID
122.0,mirna,miR-149,Homo sapiens,45.0,467microRNA Array,406941,Clear hit to Entrez gene ID
123.0,mirna,miR-150,Homo sapiens,45.0,467microRNA Array,406942,Clear hit to Entrez gene ID
124.0,mirna,miR-151,Homo sapiens,45.0,467microRNA Array,442893,Ambiguous mapping to Entrez gene ID
125.0,mirna,miR-152,Homo sapiens,45.0,467microRNA Array,406943,Clear hit to Entrez gene ID
126.0,mirna,miR-15b,Homo sapiens,45.0,467microRNA Array,406949,Clear hit to Entrez gene ID
127.0,mirna,miR-16,Homo sapiens,45.0,467microRNA Array,51573,Ambiguous mapping to Entrez gene ID
128.0,mirna,miR-17-3p,Homo sapiens,45.0,467microRNA Array,406952,Ambiguous mapping to Entrez gene ID
129.0,mirna,miR-17-5p,Homo sapiens,45.0,467microRNA Array,406952,Ambiguous mapping to Entrez gene ID
130.0,mirna,miR-181a,Homo sapiens,45.0,467microRNA Array,406954,Ambiguous mapping to Entrez gene ID
131.0,mirna,miR-181a,Homo sapiens,45.0,467microRNA Array,406995,Ambiguous mapping to Entrez gene ID
132.0,mirna,miR-181b,Homo sapiens,45.0,467microRNA Array,406955,Ambiguous mapping to Entrez gene ID
133.0,mirna,miR-181b,Homo sapiens,45.0,467microRNA Array,406956,Ambiguous mapping to Entrez gene ID
134.0,mirna,miR-181c,Homo sapiens,45.0,467microRNA Array,406957,Clear hit to Entrez gene ID
135.0,mirna,miR-181d,Homo sapiens,45.0,467microRNA Array,574457,Clear hit to Entrez gene ID
136.0,mirna,miR-182,Homo sapiens,45.0,467microRNA Array,406958,Clear hit to Entrez gene ID
137.0,mirna,miR-183,Homo sapiens,45.0,467microRNA Array,406959,Clear hit to Entrez gene ID
138.0,mirna,miR-185,Homo sapiens,45.0,467microRNA Array,406961,Clear hit to Entrez gene ID
139.0,mirna,miR-186,Homo sapiens,45.0,467microRNA Array,406962,Clear hit to Entrez gene ID
140.0,mirna,miR-187,Homo sapiens,45.0,467microRNA Array,406963,Clear hit to Entrez gene ID
141.0,mirna,miR-188,Homo sapiens,45.0,467microRNA Array,406964,Clear hit to Entrez gene ID
142.0,mirna,miR-18a,Homo sapiens,45.0,467microRNA Array,406953,Clear hit to Entrez gene ID
143.0,mirna,miR-18b,Homo sapiens,45.0,467microRNA Array,574033,Clear hit to Entrez gene ID
144.0,mirna,miR-190,Homo sapiens,45.0,467microRNA Array,406965,Clear hit to Entrez gene ID
145.0,mirna,miR-191,Homo sapiens,45.0,467microRNA Array,406966,Clear hit to Entrez gene ID
146.0,mirna,miR-192,Homo sapiens,45.0,467microRNA Array,406967,Clear hit to Entrez gene ID
147.0,mirna,miR-193a,Homo sapiens,45.0,467microRNA Array,406968,Clear hit to Entrez gene ID
148.0,mirna,miR-193b,Homo sapiens,45.0,467microRNA Array,574455,Clear hit to Entrez gene ID
149.0,mirna,miR-194,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
150.0,mirna,miR-196b,Homo sapiens,45.0,467microRNA Array,442920,Clear hit to Entrez gene ID
151.0,mirna,miR-197,Homo sapiens,45.0,467microRNA Array,406974,Clear hit to Entrez gene ID
152.0,mirna,miR-198,Homo sapiens,45.0,467microRNA Array,406975,Clear hit to Entrez gene ID
153.0,mirna,miR-19a,Homo sapiens,45.0,467microRNA Array,406979,Clear hit to Entrez gene ID
154.0,mirna,miR-19b,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
155.0,mirna,miR-200a,Homo sapiens,45.0,467microRNA Array,406983,Clear hit to Entrez gene ID
156.0,mirna,miR-200b,Homo sapiens,45.0,467microRNA Array,406984,Clear hit to Entrez gene ID
157.0,mirna,miR-200c,Homo sapiens,45.0,467microRNA Array,406985,Clear hit to Entrez gene ID
158.0,mirna,miR-202,Homo sapiens,45.0,467microRNA Array,574448,Clear hit to Entrez gene ID
159.0,mirna,miR-203,Homo sapiens,45.0,467microRNA Array,406986,Clear hit to Entrez gene ID
160.0,mirna,miR-205,Homo sapiens,45.0,467microRNA Array,406988,Clear hit to Entrez gene ID
161.0,mirna,miR-206,Homo sapiens,45.0,467microRNA Array,406989,Clear hit to Entrez gene ID
162.0,mirna,miR-20a,Homo sapiens,45.0,467microRNA Array,406982,Clear hit to Entrez gene ID
163.0,mirna,miR-20b,Homo sapiens,45.0,467microRNA Array,574032,Clear hit to Entrez gene ID
164.0,mirna,miR-21,Homo sapiens,45.0,467microRNA Array,406991,Clear hit to Entrez gene ID
165.0,mirna,miR-210,Homo sapiens,45.0,467microRNA Array,406992,Clear hit to Entrez gene ID
166.0,mirna,miR-214,Homo sapiens,45.0,467microRNA Array,406996,Clear hit to Entrez gene ID
167.0,mirna,miR-22,Homo sapiens,45.0,467microRNA Array,407004,Clear hit to Entrez gene ID
168.0,mirna,miR-220,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
169.0,mirna,miR-221,Homo sapiens,45.0,467microRNA Array,407006,Clear hit to Entrez gene ID
170.0,mirna,miR-222,Homo sapiens,45.0,467microRNA Array,407007,Clear hit to Entrez gene ID
171.0,mirna,miR-224,Homo sapiens,45.0,467microRNA Array,407009,Clear hit to Entrez gene ID
172.0,mirna,miR-23a,Homo sapiens,45.0,467microRNA Array,407010,Clear hit to Entrez gene ID
173.0,mirna,miR-23b,Homo sapiens,45.0,467microRNA Array,407011,Clear hit to Entrez gene ID
174.0,mirna,miR-24,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
175.0,mirna,miR-25,Homo sapiens,45.0,467microRNA Array,407014,Clear hit to Entrez gene ID
176.0,mirna,miR-26a,Homo sapiens,45.0,467microRNA Array,407015,Clear hit to Entrez gene ID
177.0,mirna,miR-26b,Homo sapiens,45.0,467microRNA Array,407017,Clear hit to Entrez gene ID
178.0,mirna,miR-27a,Homo sapiens,45.0,467microRNA Array,407018,Clear hit to Entrez gene ID
179.0,mirna,miR-27b,Homo sapiens,45.0,467microRNA Array,407019,Clear hit to Entrez gene ID
180.0,mirna,miR-28,Homo sapiens,45.0,467microRNA Array,407020,Clear hit to Entrez gene ID
181.0,mirna,miR-296,Homo sapiens,45.0,467microRNA Array,407022,Clear hit to Entrez gene ID
182.0,mirna,miR-29a,Homo sapiens,45.0,467microRNA Array,407021,Clear hit to Entrez gene ID
183.0,mirna,miR-29b,Homo sapiens,45.0,467microRNA Array,407024,Ambiguous mapping to Entrez gene ID
184.0,mirna,miR-29b,Homo sapiens,45.0,467microRNA Array,407025,Ambiguous mapping to Entrez gene ID
185.0,mirna,miR-301,Homo sapiens,45.0,467microRNA Array,407027,Clear hit to Entrez gene ID
186.0,mirna,miR-302a,Homo sapiens,45.0,467microRNA Array,407028,Clear hit to Entrez gene ID
187.0,mirna,miR-30a-3p,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
188.0,mirna,miR-30a-5p,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
189.0,mirna,miR-30b,Homo sapiens,45.0,467microRNA Array,407030,Clear hit to Entrez gene ID
190.0,mirna,miR-30c,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
191.0,mirna,miR-30d,Homo sapiens,45.0,467microRNA Array,407033,Clear hit to Entrez gene ID
192.0,mirna,miR-30e-3p,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
193.0,mirna,miR-31,Homo sapiens,45.0,467microRNA Array,407035,Clear hit to Entrez gene ID
194.0,mirna,miR-320,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
195.0,mirna,miR-324-3p,Homo sapiens,45.0,467microRNA Array,442898,Clear hit to Entrez gene ID
196.0,mirna,miR-324-5p,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
197.0,mirna,miR-328,Homo sapiens,45.0,467microRNA Array,442901,Clear hit to Entrez gene ID
198.0,mirna,miR-331,Homo sapiens,45.0,467microRNA Array,442903,Clear hit to Entrez gene ID
199.0,mirna,miR-335,Homo sapiens,45.0,467microRNA Array,442904,Clear hit to Entrez gene ID
200.0,mirna,miR-339,Homo sapiens,45.0,467microRNA Array,442907,Clear hit to Entrez gene ID
201.0,mirna,miR-342,Homo sapiens,45.0,467microRNA Array,442909,Clear hit to Entrez gene ID
202.0,mirna,miR-345,Homo sapiens,45.0,467microRNA Array,442910,Clear hit to Entrez gene ID
203.0,mirna,miR-346,Homo sapiens,45.0,467microRNA Array,442911,Clear hit to Entrez gene ID
204.0,mirna,miR-34a,Homo sapiens,45.0,467microRNA Array,407040,Clear hit to Entrez gene ID
205.0,mirna,miR-361,Homo sapiens,45.0,467microRNA Array,494323,Clear hit to Entrez gene ID
206.0,mirna,miR-362,Homo sapiens,45.0,467microRNA Array,574030,Clear hit to Entrez gene ID
207.0,mirna,miR-365,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
208.0,mirna,miR-369-3p,Homo sapiens,45.0,467microRNA Array,442914,Clear hit to Entrez gene ID
209.0,mirna,miR-370,Homo sapiens,45.0,467microRNA Array,442915,Clear hit to Entrez gene ID
210.0,mirna,miR-371,Homo sapiens,45.0,467microRNA Array,442916,Clear hit to Entrez gene ID
211.0,mirna,miR-373,Homo sapiens,45.0,467microRNA Array,442918,Clear hit to Entrez gene ID
212.0,mirna,miR-375,Homo sapiens,45.0,467microRNA Array,494324,Clear hit to Entrez gene ID
213.0,mirna,miR-421,Homo sapiens,45.0,467microRNA Array,693122,Clear hit to Entrez gene ID
214.0,mirna,miR-422a,Homo sapiens,45.0,467microRNA Array,494334,Clear hit to Entrez gene ID
215.0,mirna,miR-422b,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
216.0,mirna,miR-423,Homo sapiens,45.0,467microRNA Array,494335,Clear hit to Entrez gene ID
217.0,mirna,miR-424,Homo sapiens,45.0,467microRNA Array,494336,Clear hit to Entrez gene ID
218.0,mirna,miR-425-3p,Homo sapiens,45.0,467microRNA Array,494337,Clear hit to Entrez gene ID
219.0,mirna,miR-425-5p,Homo sapiens,45.0,467microRNA Array,494337,Clear hit to Entrez gene ID
220.0,mirna,miR-429,Homo sapiens,45.0,467microRNA Array,554210,Clear hit to Entrez gene ID
221.0,mirna,miR-432,Homo sapiens,45.0,467microRNA Array,574451,Clear hit to Entrez gene ID
222.0,mirna,miR-452,Homo sapiens,45.0,467microRNA Array,574412,Clear hit to Entrez gene ID
223.0,mirna,miR-453,Homo sapiens,45.0,467microRNA Array,574410,Clear hit to Entrez gene ID
224.0,mirna,miR-454-3p,Homo sapiens,45.0,467microRNA Array,768216,Clear hit to Entrez gene ID
225.0,mirna,miR-454-5p,Homo sapiens,45.0,467microRNA Array,768216,Clear hit to Entrez gene ID
226.0,mirna,miR-483,Homo sapiens,45.0,467microRNA Array,619552,Clear hit to Entrez gene ID
227.0,mirna,miR-484,Homo sapiens,45.0,467microRNA Array,619553,Clear hit to Entrez gene ID
228.0,mirna,miR-485-5p,Homo sapiens,45.0,467microRNA Array,574436,Clear hit to Entrez gene ID
229.0,mirna,miR-486,Homo sapiens,45.0,467microRNA Array,619554,Clear hit to Entrez gene ID
230.0,mirna,miR-487b,Homo sapiens,45.0,467microRNA Array,664616,Clear hit to Entrez gene ID
231.0,mirna,miR-494,Homo sapiens,45.0,467microRNA Array,574452,Clear hit to Entrez gene ID
232.0,mirna,miR-500,Homo sapiens,45.0,467microRNA Array,574502,Clear hit to Entrez gene ID
233.0,mirna,miR-502,Homo sapiens,45.0,467microRNA Array,574504,Clear hit to Entrez gene ID
234.0,mirna,miR-505,Homo sapiens,45.0,467microRNA Array,574508,Clear hit to Entrez gene ID
235.0,mirna,miR-512-3p,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
236.0,mirna,miR-513,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
237.0,mirna,miR-517c,Homo sapiens,45.0,467microRNA Array,574492,Clear hit to Entrez gene ID
238.0,mirna,miR-519b,Homo sapiens,45.0,467microRNA Array,574469,Clear hit to Entrez gene ID
239.0,mirna,miR-521,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
240.0,mirna,miR-522,Homo sapiens,45.0,467microRNA Array,574495,Clear hit to Entrez gene ID
241.0,mirna,miR-526a,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
242.0,mirna,miR-527,Homo sapiens,45.0,467microRNA Array,574497,Clear hit to Entrez gene ID
243.0,mirna,miR-532,Homo sapiens,45.0,467microRNA Array,693124,Clear hit to Entrez gene ID
244.0,mirna,miR-550,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
245.0,mirna,miR-557,Homo sapiens,45.0,467microRNA Array,693142,Clear hit to Entrez gene ID
246.0,mirna,miR-565,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
247.0,mirna,miR-571,Homo sapiens,45.0,467microRNA Array,693156,Clear hit to Entrez gene ID
248.0,mirna,miR-574,Homo sapiens,45.0,467microRNA Array,693159,Clear hit to Entrez gene ID
249.0,mirna,miR-578,Homo sapiens,45.0,467microRNA Array,693163,Clear hit to Entrez gene ID
250.0,mirna,miR-582,Homo sapiens,45.0,467microRNA Array,693167,Clear hit to Entrez gene ID
251.0,mirna,miR-584,Homo sapiens,45.0,467microRNA Array,693169,Clear hit to Entrez gene ID
252.0,mirna,miR-585,Homo sapiens,45.0,467microRNA Array,693170,Clear hit to Entrez gene ID
253.0,mirna,miR-590,Homo sapiens,45.0,467microRNA Array,693175,Clear hit to Entrez gene ID
254.0,mirna,miR-593,Homo sapiens,45.0,467microRNA Array,693178,Clear hit to Entrez gene ID
255.0,mirna,miR-594,Homo sapiens,45.0,467microRNA Array,NOTFOUND,NOTFOUND
256.0,mirna,miR-595,Homo sapiens,45.0,467microRNA Array,693180,Clear hit to Entrez gene ID
257.0,mirna,miR-603,Homo sapiens,45.0,467microRNA Array,693188,Clear hit to Entrez gene ID
258.0,mirna,miR-608,Homo sapiens,45.0,467microRNA Array,693193,Clear hit to Entrez gene ID
259.0,mirna,miR-612,Homo sapiens,45.0,467microRNA Array,693197,Clear hit to Entrez gene ID
260.0,mirna,miR-625,Homo sapiens,45.0,467microRNA Array,693210,Clear hit to Entrez gene ID
261.0,mirna,miR-628,Homo sapiens,45.0,467microRNA Array,693213,Clear hit to Entrez gene ID
262.0,mirna,miR-629,Homo sapiens,45.0,467microRNA Array,693214,Clear hit to Entrez gene ID
263.0,mirna,miR-634,Homo sapiens,45.0,467microRNA Array,693219,Clear hit to Entrez gene ID
264.0,mirna,miR-637,Homo sapiens,45.0,467microRNA Array,693222,Clear hit to Entrez gene ID
